"Sample","Cells","Genes","Mean_Genes","Mean_UMIs","Mean_MT"
"GSM8561110",6181,20605,1509.50380197379,5386.29477430836,34.8103446552348
"GSM8561111",2829,18329,1260.81512902086,4754.51537645811,45.4318956222749
"GSM8561112",2485,17845,1226.43340040241,4376.08048289738,45.9357661876729
"GSM8561113",6358,20980,2024.20383768481,6250.06259830135,23.1292293418919
"GSM8561114",16270,21532,1160.50313460356,3040.64585125999,34.1724042934938
"GSM8561115",3479,19235,1355.41736131072,5483.822075309,49.8161182428482
"GSM8561116",4212,18880,1072.17307692308,3999.65170940171,53.4286892870074
"GSM8561117",5172,19496,1066.6247099768,3698.69528228925,50.7829406249204
"GSM8561118",6120,19886,1076.10245098039,3105.47189542484,39.2535874471022
"GSM8561119",1986,17864,1364.95417925478,4912.43957703927,47.8908243831073
"GSM8561120",606,16155,1584.36138613861,6338.73597359736,35.7964190718493
"GSM8561121",2819,18573,1237.80986165307,4997.71975877971,47.2964832403507
"GSM8561122",5094,19240,955.399685904986,3886.99312917157,56.9515077455611
"GSM8561123",2696,18017,1168.56120178042,5071.021884273,56.0326895432851
"GSM8561124",7699,19852,883.947135991687,3526.90881932719,59.7142170035172
"GSM8561125",688,16535,1676.43895348837,5878.53488372093,32.7775799576284
"GSM8561126",2696,18017,1168.56120178042,5071.021884273,56.0326895432851
"GSM8561127",688,16535,1676.43895348837,5878.53488372093,32.7775799576284
"GSM8561128",3589,21912,1479.82920033435,5036.36918361661,46.9880972613897
"GSM8561129",1228,17567,1758.31840390879,7232.30293159609,37.7554490132539
"GSM8561130",3440,20834,950.065988372093,2594.1148255814,44.1906148484532
"GSM8561131",4050,18057,865.727901234568,3007.64641975309,51.1520087346074
"GSM8561132",42204,25354,443.521135437399,881.764809022841,41.9115358662957
"GSM8561133",5244,22112,1211.59649122807,4210.4820747521,48.4834734402248
"GSM8561134",3211,22073,1664.90657116163,4924.29928371224,40.3343743437422
"GSM8561135",3455,17966,963.544138929088,3324.7994211288,48.4104021007824
"GSM8561136",4596,21309,991.931244560487,2462.99260226284,39.928672634666
"GSM8561137",1222,19001,1391.08101472995,3845.05400981997,38.1356533256622
"GSM8561138",2723,22714,1389.07234667646,3629.53874403232,32.7694023712717
"GSM8561139",2442,19940,1061.59377559378,2587.638001638,35.3420374198852
"GSM8561140",2765,21616,1292.87884267631,3357.38842676311,38.5209746129113
"GSM8561141",1375,20784,1491.01090909091,4386.14545454545,33.4802950149961
"GSM8561142",1437,21172,1773.0723729993,5290.15727209464,30.2954099975923
"GSM8561143",3134,22205,1151.99553286535,2816.14071474154,36.2964852961977
"GSM8561144",1024,20560,1660.591796875,4804.068359375,32.734666839438
"GSM8561145",1780,20946,1639.61853932584,5236.40056179775,38.8122475385544
"GSM8561146",4544,22250,1069.40052816901,2445.09881161972,34.0925457947349
"GSM8561147",1860,20772,1251.8935483871,3411.88709677419,32.7003620420733
"GSM8561148",4458,22011,947.993046209062,2354.3624943921,38.1708033537475
"GSM8561149",3983,17798,464.124780316344,870.245041426061,33.3986616969526
