Condition,majority_voting,count,total,proportion
HC,C-TAL,491,5836,8.41329677861549
HC,CCD-IC-A,348,5836,5.962988348183687
HC,CNT,231,5836,3.9581905414667578
HC,Classical monocytes,48,5836,0.822481151473612
HC,DC,66,5836,1.1309115832762167
HC,DCT,241,5836,4.129540781357094
HC,DTL,340,5836,5.825908156271418
HC,EC-AEA,109,5836,1.8677176148046606
HC,EC-DVR,143,5836,2.450308430431803
HC,EC-GC,277,5836,4.746401644962303
HC,EC-LYM,21,5836,0.35983550376970524
HC,EC-PTC,521,5836,8.927347498286498
HC,IC-A,35,5836,0.5997258396161754
HC,IC-B,317,5836,5.4318026045236465
HC,M-TAL,84,5836,1.439342015078821
HC,NK cells,103,5836,1.7649074708704593
HC,Non-classical monocytes,115,5836,1.9705277587388623
HC,PC,598,5836,10.246744345442083
HC,PEC,49,5836,0.8396161754626456
HC,PT,727,5836,12.457162440027417
HC,Podocytes,56,5836,0.9595613433858807
HC,T cells,72,5836,1.233721727210418
HC,VSMC/P,349,5836,5.980123372172721
HC,aPT,244,5836,4.180945853324195
HC,aTAL,35,5836,0.5997258396161754
HC,dATL,0,5836,0.0
HC,dC-IC-A,81,5836,1.3879369431117203
HC,dVSMC,135,5836,2.313228238519534
T1D,C-TAL,689,18977,3.6307108605153604
T1D,CCD-IC-A,793,18977,4.17874268851768
T1D,CNT,508,18977,2.676924698319018
T1D,Classical monocytes,87,18977,0.4584497022711704
T1D,DC,89,18977,0.46898877588659954
T1D,DCT,400,18977,2.107814723085841
T1D,DTL,2930,18977,15.439742846603782
T1D,EC-AEA,231,18977,1.217263002582073
T1D,EC-DVR,623,18977,3.282921431206197
T1D,EC-GC,337,18977,1.7758339041998208
T1D,EC-LYM,87,18977,0.4584497022711704
T1D,EC-PTC,1547,18977,8.151973441534489
T1D,IC-A,72,18977,0.37940665015545133
T1D,IC-B,577,18977,3.040522738051325
T1D,M-TAL,1132,18977,5.965115666332929
T1D,NK cells,144,18977,0.7588133003109027
T1D,Non-classical monocytes,291,18977,1.5334352110449492
T1D,PC,2883,18977,15.192074616641197
T1D,PEC,91,18977,0.47952784950202876
T1D,PT,2724,18977,14.354218264214575
T1D,Podocytes,32,18977,0.16862517784686726
T1D,T cells,144,18977,0.7588133003109027
T1D,VSMC/P,968,18977,5.100911629867735
T1D,aPT,892,18977,4.7004268324814245
T1D,aTAL,75,18977,0.39521526057859513
T1D,dATL,233,18977,1.2278020761975021
T1D,dC-IC-A,268,18977,1.4122358644675133
T1D,dVSMC,130,18977,0.6850397850028982
