,names,scores,logfoldchanges,pvals,pvals_adj
0,MT1G,10.26499,1.1830255,1.0133140000045568e-24,2.8694012538129035e-20
1,MT1H,9.926587,1.2615546,3.189880210171341e-23,4.516391895571094e-19
2,ZGPAT,9.202813,0.95528483,3.486976196608057e-20,3.291356831978345e-16
3,MT1F,9.079448,0.8776696,1.0912748980739471e-19,7.725407822189991e-16
4,MT2A,9.035686,0.9600131,1.629772302725857e-19,9.230052459257619e-16
5,PPDPF,8.126706,0.75940424,4.411127440816298e-16,2.081831595693252e-12
6,PCK1,7.978244,0.8843228,1.484301508072663e-15,6.004423686299085e-12
7,SNHG5,7.6475286,1.1617372,2.0487880926459997e-14,6.446170268828531e-11
8,MT1E,7.448119,0.74997497,9.468037206173951e-14,2.681064095672278e-10
9,RPS4X,7.431821,0.59778875,1.0711264735745371e-13,2.7573716683827424e-10
10,FABP1,7.245274,0.49489528,4.3156585350180357e-13,1.018387522800881e-09
11,CHCHD10,7.072134,0.68898505,1.5256895130486726e-12,3.323303841615328e-09
12,MIOX,6.9722095,0.39968592,3.1200184128839937e-12,6.310682956974004e-09
13,RPS27,6.8750916,0.54033893,6.1949980531861275e-12,1.1370624968174205e-08
14,PCBD1,6.8698964,0.5728847,6.424850637686137e-12,1.1370624968174205e-08
15,RPS29,6.8612447,0.5063819,6.826310147930977e-12,1.1370624968174205e-08
16,RPS21,6.788574,0.547421,1.13247193406124e-11,1.781567097600674e-08
17,RPL37A,6.6804795,0.44578585,2.3816173357605e-11,3.549487268248952e-08
18,RPS2,6.5387206,0.56176805,6.204736704223796e-11,8.78497646267526e-08
19,MT1X,6.517269,0.6794272,7.159889641640882e-11,9.654599761064041e-08
20,SUCLG1,6.502605,0.4697755,7.894081449568128e-11,1.0160759291246393e-07
21,RPL3,6.3969407,0.5228755,1.5852103974005378e-10,1.9516696879648274e-07
22,RPL35,6.1254888,0.4471438,9.040557871377768e-10,1.0666728218491845e-06
23,RPL37,6.0196147,0.4380654,1.7483262878176489e-09,1.9802942196852943e-06
24,CAPN3,5.965358,0.90404123,2.440982699187642e-09,2.6585118112652486e-06
25,RPL11,5.9100327,0.50637025,3.4203961276565897e-09,3.5872354498833943e-06
26,RPS15A,5.878987,0.47723064,4.127847474861698e-09,4.174580605202097e-06
27,DBI,5.851272,0.515961,4.8782752733870784e-09,4.763383479879376e-06
28,RPL35A,5.8373413,0.48358095,5.304039113878934e-09,5.006482519590325e-06
29,RPL8,5.8075523,0.42805558,6.339272430315515e-09,5.790618626104659e-06
30,RPS6,5.795444,0.4578229,6.814062270098543e-09,6.029806290699389e-06
31,SNHG29,5.734735,0.5322694,9.766484972986394e-09,8.380531969092598e-06
32,RPS19,5.716552,0.38998845,1.0870736331644453e-08,9.053724726564e-06
33,LIME1,5.624776,0.4122894,1.8574877971777904e-08,1.5028137700766712e-05
35,RPL23A,5.537337,0.5134688,3.0710578716518234e-08,2.350355290582829e-05
36,FTL,5.511633,0.5101774,3.555200091345619e-08,2.649278973332471e-05
37,GAS5,5.499881,0.83883214,3.80048383662894e-08,2.7594436103031204e-05
38,RPL15,5.486788,0.42012087,4.093083185471321e-08,2.8975959140747846e-05
39,RPL29,5.3999143,0.43731764,6.667282743173375e-08,4.6048157424009873e-05
40,RPS28,5.3728485,0.43279836,7.750244124839072e-08,5.2253253067397146e-05
41,HINT2,5.327432,0.5521732,9.961105487590135e-08,6.55973544400209e-05
42,RPS12,5.276862,0.40699685,1.314146750105408e-07,8.457430346076099e-05
43,GUK1,5.2683153,0.5264602,1.3768161290541927e-07,8.66384496142835e-05
44,RPS7,5.233017,0.377514,1.6676560279835003e-07,0.00010265872987914952
45,RPL19,5.205511,0.44186884,1.93463182402021e-07,0.00011655950927825591
46,RPS3,5.1993523,0.48366946,1.999840465835934e-07,0.00011797808848140864
47,AVP,5.1378684,0.8459158,2.778724394108001e-07,0.0001577038448195294
48,RPL41,5.1374702,0.3982217,2.784614274455793e-07,0.0001577038448195294
49,TMSB10,5.130285,0.54221547,2.893038852910308e-07,0.00016063172783894352
50,HIST1H4C,5.115202,0.62424976,3.134053991455984e-07,0.00016862195118287667
51,RPS9,5.113882,0.41286147,3.1560417461922036e-07,0.00016862195118287667
52,GAMT,5.108834,0.52904415,3.241536356022066e-07,0.00016998256480273488
53,RPS23,5.1011453,0.34719086,3.376039019825949e-07,0.0001738169034989298
54,RPS3A,5.0796313,0.4060209,3.7816806938454103e-07,0.00019122473608503658
55,RPL13,5.065135,0.37292403,4.0811125717515813e-07,0.0002027453766566483
56,RPL28,5.0410023,0.36940652,4.6310029827807947e-07,0.00022609674390242028
57,RPL18A,5.016241,0.3756181,5.269224825804699e-07,0.00025289599897001977
58,RPL21,5.0014095,0.4615744,5.691273193803399e-07,0.0002685996383815514
59,METRN,4.9776535,0.6559684,6.435968885427041e-07,0.00029876611627645494
60,IER3IP1,4.9005837,0.5902882,9.55522695905846e-07,0.0004364118738704169
61,RPS8,4.8587494,0.38374478,1.181294569862474e-06,0.0005309637830919949
62,AP1M2,4.8530936,0.5265888,1.2155039500439491e-06,0.0005378035211467891
63,PPP1R16A,4.81061,0.45878258,1.5047058128040048e-06,0.0006555193000180154
64,RPL10,4.80045,0.40367317,1.5830977182701774e-06,0.0006792208801251001
65,PRELID1,4.7886767,0.4814394,1.678848201950891e-06,0.0007095514109648266
66,RPLP0,4.636485,0.4319318,3.5438362366789532e-06,0.0014757472163829106
67,FABP3,4.627477,0.5560623,3.7014683460162044e-06,0.0015190504225237806
68,RPL31,4.61319,0.4623599,3.965348483386248e-06,0.0015983326470630321
69,RPS18,4.6109905,0.3843426,4.007543805539968e-06,0.0015983326470630321
70,CTSH,4.603072,0.5308474,4.163038576714862e-06,0.0016372883802338158
71,GSTP1,4.5955515,0.5134496,4.31605868890461e-06,0.001674216902653587
72,RPL36A,4.575734,0.38183317,4.745525333744855e-06,0.0018159329848061224
73,THY1,4.541148,0.5720879,5.5948684590874354e-06,0.0020846038178418277
74,SLC25A6,4.5328736,0.43091097,5.8186661369841175e-06,0.002139833363649081
75,RPL36AL,4.5251226,0.46435666,6.036052190915638e-06,0.0021913191011558733
76,APOM,4.4913535,0.51001674,7.077199471811075e-06,0.0025367728790287873
77,MRPL40,4.4696507,0.59593207,7.834743642192697e-06,0.0027732054464496324
78,GLTPD2,4.4628425,0.73580617,8.087953113364986e-06,0.0028274884976685964
79,RPS15,4.4380183,0.3523894,9.079087414859899e-06,0.0031352746137388752
80,HERPUD1,4.3981533,0.5548716,1.0917589184954091e-05,0.0037247394331366866
81,GADD45A,4.377079,0.6187813,1.202804082292241e-05,0.004054738475984451
82,MPST,4.374272,0.47265673,1.2183846979957088e-05,0.0040589411168405285
83,AHCY,4.3684273,0.52049,1.2514451792674807e-05,0.004120601528060146
84,RPL12,4.362834,0.4245164,1.2838840207296317e-05,0.004178821128161032
85,RPL22,4.3583508,0.34942356,1.31046131758766e-05,0.004216856037514746
86,LINC02754,4.348484,0.5175977,1.370817185906574e-05,0.004361509017226569
87,RPL34,4.3439593,0.4180895,1.3993747408449363e-05,0.004402899392945118
88,CSTB,4.325252,0.47052163,1.5235745932500798e-05,0.004663790338733798
89,RPL30,4.29672,0.41750807,1.7334374476617332e-05,0.005221888106961415
90,LAMTOR2,4.2382317,0.4529427,2.252870917199688e-05,0.0066452651835774545
91,RPL18,4.2237144,0.37252784,2.403084931208789e-05,0.007015273814127761
92,KANSL1-AS1,4.2089877,0.93289226,2.565174642957788e-05,0.00741204595557507
93,PPP1R14B,4.1739407,0.65347856,2.9937579633749484e-05,0.008563054974635192
